AuthorID	Author_Name
142307	Vedran Lekic
1939452	Martin Klazar
2373501	Krishnamurthy Dvijotham
2918137	Oleg Pikhurko
3170345	Deepak Rajendraprasad
3342266	Selmer Bringsjord
4723864	Mathilde Lescat
7521848	Andrew Gainer-Dewar
15404594	Cansin Sackesen
15747996	Terry M. Therneau
17540659	Albert Wilansky
18171182	Elizabeth D. Mynatt
18409293	Peter D. Ghys
23559702	Paul Juvvik
23825927	Zlatko Mehmedic
24617090	Peter C. Fishburn
24913793	Tassula Proikas-Cezanne
25285810	Harm van Heerikhuizen
27399217	Petr Savicky
27646258	Peter Katrenič
27682661	Niall J. Lennon
28500939	Valentin Blomer
29568443	David Gamarnik
30365087	Inge De Lepeleire
31016604	Péter Komjáth
31335080	Avi Wigderson
31583199	John D. Reveille
32099879	Kristen Menou
32897743	Sergei Bespamyatnikh
33143079	Hayden T. Ravert
35238961	Joseph B. Kadane
38872623	V.K.R. Chiluvuri
39008495	Matthew E. Hirschtritt
39154993	Humphrey Q. P. Crick
39522155	Roger Luckmann
40556098	Aurel Wintner
40573743	Sharon L.R. Kardia
40878799	Derrick Stolee
41017280	Didier Hannequin
41762301	Peter C. Jurs
42217567	Keivan G. Stassun
45089699	Iris Bigalke
45244876	Cécile Dartyge
45643653	David García-Soriano
46262258	Richard H. Schelp
47296758	Ioan Todinca
47968883	Giovanni Gotte
48990335	Ratko Djukanovic
49771013	János Demetrovics
50304707	Zvi Lotker
51912432	Noga Ron-Zewi
54036230	Paweł Gawrychowski
55251240	Paraskevi Xepapadaki
56403476	Tomas Lööw
57486875	Panagiotis Cheilaris
59446286	Russell Impagliazzo
59839706	Francesco Matucci
60672333	Thomas Schlederer
60890114	Veronica J. Vieland
64661934	Sarah C. R. Lummis
64959719	David Singmaster
65976662	Frank Harary
68252668	Luca Malcovati
68776032	George S. Lueker
68832535	Yaron Wolfstahl
69206028	Herbert Edelsbrunner
69908728	Daniel Beltita
69916570	Kenneth B. Stolarsky
70292665	Andre F. Perold
70552693	Peter J. Tonellato
71248506	Galen Gisler
71283037	Michael J. Fulham
71661355	Ellen Koskoff
71753663	Kostas Tsichlas
72750126	Thibault Cavailhes
72886133	Omar Ndir
73933186	Junya Shite
74094003	Baruch Awerbuch
74261375	Matthew J. Fouch
74522643	Arkadiusz Socała
75617163	Ron Aharoni
75991372	Julius B. Barbanel
79850098	Ryo Anma
80638395	Harry Lakser
82878664	Carl Pomerance
83252591	Vasilis Samoladas
83479043	Leka Manoch
84081550	Martin I. Reiman
84844861	Daniel Binkele-Raible
85770748	Federica Del Chierico
87264011	Meir Katchalski
89195982	Irvin Roy Hentzel
91504467	Geoffrey Exoo
91530331	Paul C. Kainen
91972821	Kenneth Kunen
92865298	Gary A. Kochenberger
93509595	Colin L. Mallows
96692849	Maria Antonietta Aloe Spiriti
97284689	Hélène Choquet
102802061	Ralph J. Faudree
103397298	Sara Tucci Piergiovanni
107646455	Liz Sonenberg
108551919	Dan Gusfield
108996297	Katrin Tent
109092832	Ehud Keinan
110530279	Elisabeth Svernhage
110702461	Sandra Thibivilliers
111071286	Katarzyna Mieczkowska
112290446	Ehud Friedgut
113235389	Atefeh Mashatan
114537290	Allen Weitsman
114863092	Boris Pittel
115060582	Duane T. McRuer
117986026	Marina Arav
118940437	Kathy J. Helzlsouer
121788905	Benjamin Lipshitz
122498434	Juris Steprans
123362179	Adrián Velázquez-Campoy
125409450	Dmitry Gavinsky
125940650	Yair Censor
125967797	Achilleas Sinefakopoulos
126037460	Fabian Monrose
126325558	David F. Garway-Heath
126614680	János Csirik
133180919	Michael Monticino
134229358	Tiffany Eckert-Lumsdon
134324666	Hugo Duminil-Copin
135265484	Edward R. Scheinerman
135268338	Prasad Tetali
135617517	Filip Morić
137426811	Nathan Linial
137835390	Peter Bro Miltersen
138925914	Michael E. Zieve
139594551	Andrew B. Whinston
140754157	Rachid Marsli
145047672	Diane L. Souvaine
145494775	Gudmund Skovbjerg Frandsen
146127274	Sergio Rojter
146206780	Ruben Cuevas Rumin
146361945	Michel Kerszberg
